site_year,yday,hour,year,site,do.pel,do.ben,temp.pel,temp.ben,par.pel,par.ben,wspeed,k,o2_eq,series,unique_series,series_length,unique_day,index
reyk_2019,186,19,2019,reyk,11.836201547343995,12.243748941483638,12.35,12.3525,82.8393,4.97835,2.1213203435596424,0.04216549939098353,10.340105438781167,4,4,130,16,376
reyk_2019,186,20,2019,reyk,11.785329620922745,12.060842252232467,12.284666666666666,12.303666666666667,39.02945,2.2903,2.23606797749979,0.04681784758190889,10.355418627564783,4,4,130,16,377
reyk_2019,186,21,2019,reyk,11.809804087242247,12.027489723057666,12.2745,12.272499999999999,27.878574999999998,1.2940749999999999,2.2135943621178655,0.04583195870726018,10.35780516478712,4,4,130,16,378
reyk_2019,186,22,2019,reyk,11.840397170141623,12.044875615925381,12.285,12.259166666666667,31.861624999999997,1.6927499999999998,2.280350850198276,0.048805806870210064,10.355340396957292,4,4,130,16,379
reyk_2019,186,23,2019,reyk,11.82343986133454,12.009394201909636,12.266833333333333,12.2225,11.848324999999999,0.198875,1.8439088914585775,0.032939828990262376,10.359605493922594,4,4,130,16,380
reyk_2019,186,24,2019,reyk,11.792322325585461,11.946059877891528,12.179833333333333,12.1615,4.4807,0.0999,2.04939015319192,0.03931135493933622,10.380074263670247,4,4,130,16,381
reyk_2019,187,1,2019,reyk,11.731835430252978,11.867291138776572,12.175,12.098166666666668,0.9962249999999999,0.0999,1.5811388300841898,0.026783918719023418,10.381213520339703,4,4,130,17,382
reyk_2019,187,2,2019,reyk,11.661034295542992,11.721817341312011,12.1295,12.0375,0.4976499999999999,0.0999,2.0248456731316584,0.03840092072869894,10.391949123627453,4,4,130,17,383
reyk_2019,187,3,2019,reyk,11.621175878965518,11.486043345177377,12.043333333333333,12.001999999999999,0.6974499999999999,0.0999,1.140175425099138,0.02077379041401319,10.412333933911702,4,4,130,17,384
reyk_2019,187,4,2019,reyk,11.633762747358405,11.607567188181308,11.957333333333333,11.9735,2.1903999999999995,0.0999,1.224744871391589,0.021521981094557305,10.432750088161317,4,4,130,17,385
reyk_2019,187,5,2019,reyk,11.533767070681584,11.544942492443518,11.897833333333333,11.944,6.073549999999999,0.0999,1.7320508075688772,0.02977243176924416,10.446916773304084,4,4,130,17,386
reyk_2019,187,6,2019,reyk,11.492335295555002,11.356713591089983,11.8475,11.874,15.731475,0.4976499999999999,1.3416407864998738,0.022794365704010194,10.45892754635036,4,4,130,17,387
reyk_2019,187,7,2019,reyk,11.569255046844862,11.35014952949707,11.8535,11.839,34.250899999999994,2.2893749999999997,1.0488088481701516,0.01995331684803522,10.457494514796581,4,4,130,17,388
reyk_2019,187,8,2019,reyk,11.676418245800964,11.286815205478963,11.883166666666668,11.8105,52.57052499999999,4.2818249999999995,1.9748417658131499,0.03648557456539367,10.450414077923957,4,4,130,17,389
