site,date,yday,year,hour,temp.ben,temp.pel,do_eq.ben,do_eq.pel,do.ben,do.pel,do_sat.ben,do_sat.pel,par.ben,par.pel,wspeed
st33,2018-07-26,207,2018,4,12.667083333333334,13,9.792663576843648,9.708362443584164,11.73280413555208,12.565000000000001,116.85993783333333,123.25,0,2.5890750000000002,1.5
st33,2018-07-26,207,2018,5,12.665583333333334,12.98,9.793045805217819,9.713393934042234,11.629570071753403,12.545,115.82848908333334,123.05,0.4976499999999999,7.666399999999999,1.9
st33,2018-07-26,207,2018,6,12.70825,12.97,9.782184638082374,9.715910712153063,11.650608293285833,12.504999999999999,116.14913391666667,122.55000000000001,3.2855999999999996,44.605349999999994,0.9
st33,2018-07-26,207,2018,7,12.715083333333332,12.975000000000001,9.780441376815318,9.714652064736441,11.538485988607174,12.6,115.04938525,123.55,4.181925,51.775025,2.9
st33,2018-07-26,207,2018,8,12.763416666666666,13,9.768158166044586,9.708362443584164,11.703285390611224,12.725000000000001,116.81951316666667,124.8,7.866199999999999,101.95627499999999,6.5
st33,2018-07-26,207,2018,9,12.947916666666666,13.02,9.72147984373165,9.703335082398233,12.193198704436229,12.655,122.2143465,124.19999999999999,4.87845,71.6875,5.7
st33,2018-07-26,207,2018,10,12.9835,12.99,9.712521280969547,9.710877155931403,12.248811367556844,12.605,122.86907441666666,123.65,6.472225,73.281275,6.6
st33,2018-07-26,207,2018,11,12.97725,13,9.714092344424104,9.708361927425347,12.265038522924883,12.665,123.014768,124.25,6.9689499999999995,74.87412499999999,6.8
st33,2018-07-26,207,2018,12,12.97125,13,9.715597382487738,9.708361927425347,12.299694508007377,12.68,123.34579266666667,124.4,9.060375,76.46697499999999,6.4
st33,2018-07-26,207,2018,13,12.99775,13.015,9.708930584051998,9.704591149019608,12.269441871617717,12.76,123.11543191666667,125.25,10.753125,53.36694999999999,5.7
st33,2018-07-26,207,2018,14,13.01375,13.03,9.7049072884772265,9.700822433559543,12.25239928130656,12.78,122.98840966666667,125.45,4.2809,21.0086,5.5
st33,2018-07-26,207,2018,15,13.002666666666666,13.035,9.7076985207304,9.699566882251982,12.162456807080698,12.635,122.0552745,124,6.173449999999999,30.267849999999996,4
st33,2018-07-26,207,2018,16,13.004833333333334,13.035,9.707148254491944,9.699566882251982,12.04430028382297,12.614999999999998,120.87543508333333,123.85,3.5853,16.6278,4.6
st33,2018-07-26,207,2018,17,13.01225,13.045,9.70528639118406,9.697056294670205,12.068681788622184,12.61,121.14024866666666,123.8,4.97835,25.88705,2.4
st33,2018-07-26,207,2018,18,13.023166666666667,13.035,9.70254427475598,9.699566882251982,12.083114987115364,12.6,121.31468383333333,123.69999999999999,5.077325,27.479899999999997,1.2
st33,2018-07-26,207,2018,19,13.023833333333334,13.03,9.70237714806573,9.700822433559543,12.09175859751241,12.605,121.40324083333333,123.75,3.8831499999999997,20.112274999999997,0.5
st33,2018-07-26,207,2018,20,13.010166666666667,13.02,9.705809566370352,9.703334566802292,12.070149571519796,12.629999999999999,121.14930816666667,123.95,2.589075,13.739949999999999,1.4
st33,2018-07-26,207,2018,21,12.9865,13.01,9.711762934443774,9.705847731236924,12.051068393850846,12.61,120.893704,123.75,0.59755,4.5806,0.4
st33,2018-07-26,207,2018,22,12.987333333333334,13.01,9.71154830702549,9.705847731236924,12.038429152232524,12.57,120.76923099999999,123.3,0,0.4976499999999999,2
st33,2018-07-26,207,2018,23,12.949166666666667,12.98,9.721162628812023,9.713393417319821,8.773427639989986,12.5,87.93814416666666,122.55000000000001,0,0,3.5
st33,2018-07-27,208,2018,0,12.932272727272727,12.955,9.725418942090315,9.719688722706824,9.19374728794238,12.395,92.11727918181818,121.45,0,0,2
st33,2018-07-27,208,2018,1,12.891833333333333,12.925,9.7356305962436,9.727251472511472,11.109893382504607,12.32,111.21350283333334,120.65,0,0,0.5
st33,2018-07-27,208,2018,2,12.863333333333333,12.89,9.742829081625906,9.736086861965,11.902006886248964,12.22,119.06937375,119.55000000000001,0,0,0.7
st33,2018-07-27,208,2018,3,12.824416666666666,12.870000000000001,9.752681400446434,9.741141144230852,12.0792008993884,12.184999999999999,120.73637616666667,119.15,0,0.198875,1.3
st33,2018-07-27,208,2018,4,12.799416666666666,12.83,9.759012318276351,9.751262189428996,12.132938062139845,12.175,121.20545925,118.95,0.29877499999999996,3.784175,0.4
st33,2018-07-27,208,2018,5,12.778083333333333,12.785,9.76442564078293,9.762667902754863,12.036064390897483,12.135,120.18000908333333,118.5,1.2940749999999999,8.960474999999999,0.9
st33,2018-07-27,208,2018,6,12.77525,12.78,9.765145780560388,9.763936421748445,11.969117182067535,12.195,119.50405341666666,119.05,4.479775,19.614624999999997,0.5
